feature	coef_smoking	stderr_smoking	pval_smoking	ci_low_smoking	ci_high_smoking	n_smoking	qval_smoking	coef_age	stderr_age	pval_age	ci_low_age	ci_high_age	n_age	qval_age	direction_concordant	both_fdr_sig
Coriobacteriaceae	0.009622145001610797	0.0013285460719039968	4.96361792114627e-13	0.007017708440596687	0.012226581562624907	5926	4.119802874551404e-11	-3.293856238903926e-05	3.032258973060258e-05	0.2774165767067161	-9.238558771447927e-05	2.6508462936400773e-05	4565	0.3436653114426483	False	False
Actinomycetaceae	0.004331080948819964	0.0008328643753651465	2.0575495385815647e-07	0.002698361937082211	0.005963799960557716	5926	8.538830585113493e-06	-8.132701101430973e-05	1.8385630580904537e-05	9.943207441842085e-06	-0.0001173717900545	-4.5282231974076454e-05	4565	5.1580388604555806e-05	False	True
Pasteurellaceae	-0.011810990520097115	0.0026699321434528935	9.876628946498225e-06	-0.01704503474098731	-0.00657694629920692	5926	0.00027325340085311757	4.53350008186223e-05	6.755381653303019e-05	0.5021943987403104	-8.71033389784637e-05	0.0001777733406157	4565	0.5789185429923022	False	False
[Mogibacteriaceae]	0.0023074888328691455	0.0006440702427150228	0.000342846524131902	0.0010448754215147127	0.0035701022442235783	5926	0.007114065375736966	1.7529326474934944e-05	1.527749897700886e-05	0.2512788257494883	-1.2422002770503544e-05	4.748065572037343e-05	4565	0.3208637313416543	True	False
Peptococcaceae	0.0013854440768480355	0.00043783548244892816	0.00156244570093746	0.0005271262794343518	0.0022437618742617194	5926	0.025936598635561834	-4.762391887326294e-06	1.0369826224890612e-05	0.646073220410079	-2.5092295358247083e-05	1.5567511583594496e-05	4565	0.696416588234241	False	False
Dethiosulfovibrionaceae	-0.0016072262722504997	0.0005180976283009512	0.0019301555575750137	-0.0026228872522177813	-0.0005915652922832183	5926	0.026700485213121024	4.193453219580146e-05	1.395859130962229e-05	0.0026772496668616	1.4568903518870729e-05	6.93001608727322e-05	4565	0.006733688556046	False	True
Pseudonocardiaceae	0.001319265118405547	0.0004322336486269711	0.002281785640281091	0.00047192896560560365	0.0021666012712054906	5926	0.02705545830619008	-2.5125623517047703e-05	1.0398468478947089e-05	0.0157191342889534	-4.551167973802713e-05	-4.739567296068282e-06	4565	0.0296520033177985	False	True
Turicibacteraceae	0.00422193029277481	0.001614263183128246	0.008935201478759237	0.0010573836186704398	0.00738647696687918	5926	0.09270271534212708	0.0001063477290122	3.804295602112031e-05	0.0052042881733813	3.176503043225442e-05	0.0001809304275922	4565	0.0118292092905224	True	False
Erysipelotrichaceae	0.008685078677475021	0.003572527176180962	0.015083707611758602	0.001681617834353769	0.015688539520596272	5926	0.13910530353066267	-0.0003561205467888	8.488875418987038e-05	2.7790145432002975e-05	-0.000522543796419	-0.0001896972971586	4565	0.0001281434483809	False	False
Unclassified_YS2	0.002183442849180958	0.0010616183659178553	0.03975783109633545	0.00010228228989527617	0.0042646034084666395	5926	0.3060471506759005	-4.060813502937235e-05	2.623905417440707e-05	0.1217830234715374	-9.204944435947e-05	1.0833174300725318e-05	4565	0.1773331745287299	False	False
Rhodocyclaceae	0.0005278564620973631	0.0002576863032201192	0.04056046575222778	2.2696992228753913e-05	0.0010330159319659723	5926	0.3060471506759005	-1.53762237295986e-05	6.219348189668943e-06	0.0134602657343504	-2.7569171384258964e-05	-3.183276074938233e-06	4565	0.0259814431616531	False	False
Nocardiopsaceae	0.0010675306165866148	0.0005396646736845945	0.04795969401500454	9.590333930408574e-06	0.002125470899242821	5926	0.31352766597289167	-2.3350083962631608e-05	1.32308399446983e-05	0.0776607980905471	-4.928896597294772e-05	2.588798047684505e-06	4565	0.1263891419904982	False	False
Methanobacteriaceae	0.0026338439234514467	0.0013425010640868793	0.04982182925277387	2.0504701033902117e-06	0.005265637376799503	5926	0.31352766597289167	0.0001337299143412	3.170424755418884e-05	2.512317679887526e-05	7.157416761835247e-05	0.0001958856610641	4565	0.0001226602161356	True	False
Brevibacteriaceae	0.000813408252994886	0.0004200935994471414	0.05288418462193353	-1.0128960042927408e-05	0.0016369454660326993	5926	0.31352766597289167	-1.5181152959528148e-05	9.331529850852173e-06	0.1038348289055545	-3.347549049128767e-05	3.113184572231375e-06	4565	0.1538980499850182	False	False
Bacteroidaceae	-0.01774044435143844	0.009696788793378625	0.06737254771838998	-0.036749699500349925	0.001268810797473048	5926	0.3723744395202406	-0.0012472543777336	0.0002376532782085	1.605840410087236e-07	-0.0017131704018547	-0.0007813383536124	4565	1.7140310798500691e-06	True	False
S24-7	0.004064040384946285	0.0022567779995563897	0.07178302448582952	-0.00036007049568990805	0.008488151265582477	5926	0.3723744395202406	0.0001349380003598	5.4213726917654967e-05	0.012845810002929	2.8652725068631203e-05	0.0002412232756511	4565	0.0253857673867406	True	False
Corynebacteriaceae	0.0006636651792405973	0.00039423657589335125	0.0923469731818149	-0.00010918280372333386	0.0014365131622045284	5926	0.43824067361938185	-1.9677028517733e-05	9.461825454306158e-06	0.0376160966268428	-3.822680881038921e-05	-1.1272482250767928e-06	4565	0.065044500417249	False	False
Dermabacteraceae	0.000425203169394623	0.0002546648807613249	0.09504014608613101	-7.403320658633857e-05	0.0009244395453755845	5926	0.43824067361938185	-1.1203216909420432e-05	5.804856075956019e-06	0.0536723499698283	-2.25835584047784e-05	1.7712458593753428e-07	4565	0.0909143887244031	False	False
Dehalobacteriaceae	0.000696328635734475	0.00042510885523203916	0.10147483773665539	-0.0001370403142714854	0.0015296975857404353	5926	0.4432848174811788	3.0307535452258944e-05	1.0374719527784775e-05	0.0035030585671214	9.968038727474986e-06	5.06470321770429e-05	4565	0.0085515841491494	True	False
Unclassified_Rhizobiales	0.0009746568405476672	0.0006156589762477538	0.11344961956838973	-0.0002322600897460645	0.002181573770841399	5926	0.4708159212088174	-5.157924019786404e-05	1.3650402789405489e-05	0.0001597413508034	-7.834066946672614e-05	-2.481781092900194e-05	4565	0.0006026605507583	False	False
[Weeksellaceae]	0.0006330892538289061	0.0004174053982901756	0.1293896549608525	-0.00018517810103490476	0.0014513566086927169	5926	0.4727060480381699	1.15477858099616e-05	9.441791606614496e-06	0.2213741611868015	-6.962718396394822e-06	3.0058290016318025e-05	4565	0.2972708422977022	True	False
Streptococcaceae	0.00545609369001797	0.0036025992296255856	0.12995563640632252	-0.001606319384502907	0.012518506764538848	5926	0.4727060480381699	-0.0001011168895229	8.448769977899867e-05	0.2314377056008332	-0.0002667538774277	6.452009838183101e-05	4565	0.3001457744510806	False	False
Rhizobiaceae	0.0003787412847102944	0.00025467566088073365	0.13702822812681187	-0.00012051622425033112	0.0008779987936709198	5926	0.4727060480381699	-6.86568862577518e-06	6.040187729191921e-06	0.2557370309027699	-1.870739463102767e-05	4.976017379477316e-06	4565	0.3216086903777257	False	False
Xanthomonadaceae	0.0006669972905489831	0.00045297162755828353	0.14094127331370002	-0.00022099289124736935	0.0015549874723453355	5926	0.4727060480381699	-4.179975791448597e-07	9.000791761062641e-06	0.9629615254448236	-1.806392757795666e-05	1.722793241966694e-05	4565	0.9867383532335846	False	False
Brucellaceae	0.0009853648317105141	0.0006785010797131629	0.14648049398647398	-0.0003447456221633092	0.0023154752855843374	5926	0.4727060480381699	-6.251263603687151e-05	1.6440335981618227e-05	0.0001451848556693	-9.474369143619476e-05	-3.0281580637548272e-05	4565	0.0005738258581216	False	False
Listeriaceae	0.00033678024595225277	0.00023281646243001282	0.14807659336135442	-0.00011962523337726624	0.0007931857252817718	5926	0.4727060480381699	-1.692363654841957e-05	5.5732858233572704e-06	0.0024064969264476	-2.7849987708744804e-05	-5.997285388094335e-06	4565	0.0062418514029735	False	False
Staphylococcaceae	0.0007635819789737987	0.0005356325177556105	0.15404520616353473	-0.0002864538022554412	0.0018136177602030385	5926	0.4735463745027179	-1.6949089496630843e-05	1.3011506333364438e-05	0.1927694886430724	-4.2457970940915975e-05	8.55979194765429e-06	4565	0.2666644592895835	False	False
Caulobacteraceae	0.0022923905202927005	0.0016510462939304865	0.16505332596168854	-0.000944264513940946	0.0055290455545263465	5926	0.4892652162435768	-0.0001997402405553	3.955279078264437e-05	4.591975342638929e-07	-0.0002772829496787	-0.0001221975314319	4565	4.234821704878123e-06	False	False
[Tissierellaceae]	-0.0015679502430332249	0.00114551152241488	0.17112097122477696	-0.0038135720947200017	0.000677671608653552	5926	0.489760021091603	-4.908047447549363e-05	2.9211978469711723e-05	0.0929971096122341	-0.0001063501615082	8.189212557291747e-06	4565	0.1468911297988407	True	False
Lachnospiraceae	0.006744836342493032	0.005058596586689877	0.18247124659359398	-0.0031718644602987964	0.01666153714528486	5926	0.5048371155756101	-0.0003752757433545	0.0001230305501788	0.0022995892754665	-0.0006164754659792	-0.0001340760207298	4565	0.0061569648343137	False	False
Unclassified_Burkholderiales	0.0011030220883939373	0.000873220403933975	0.2065795238177067	-0.0006088095100163697	0.0028148536868042445	5926	0.5165553732570495	-9.850512953973452e-05	2.1022328575080697e-05	2.871089409008606e-06	-0.0001397191191859	-5.7291139893550395e-05	4565	1.9858368412309525e-05	False	False
Alcaligenaceae	-0.0025702646031203584	0.002039520360358017	0.2076362521664237	-0.006568470992633459	0.001427941786392742	5926	0.5165553732570495	-0.0002808894173344	5.0198151171208394e-05	2.3276363541713833e-08	-0.0003793022109143	-0.0001824766237546	4565	4.82984543490562e-07	True	False
Fusobacteriaceae	0.004852382958899428	0.0038648333734083527	0.2093390653057767	-0.0027241050175443255	0.012428870935343183	5926	0.5165553732570495	-0.000199674614463	8.999357966388104e-05	0.026551957124737	-0.0003761058051013	-2.3243423824828227e-05	4565	0.0479089661163733	False	False
Chitinophagaceae	0.003969855186223029	0.0031802232334537752	0.211972742626529	-0.0022645463423014893	0.010204256714747548	5926	0.5165553732570495	-0.0003632470416607	7.554832732861983e-05	1.572646984724068e-06	-0.0005113585112911	-0.0002151355720303	4565	1.1866336339281604e-05	False	False
Sphingomonadaceae	0.0008622835982255104	0.0007022878525864372	0.21956322927315466	-0.0005144576366575927	0.0022390248331086134	5926	0.5165553732570495	-5.631157748247004e-05	1.5855011176068344e-05	0.000386696419575	-8.73951115503941e-05	-2.5228043414545985e-05	4565	0.0012838321129892	False	False
Hyphomicrobiaceae	0.0005322159458146667	0.00043773160491332615	0.22409071854301232	-0.00032589821360910363	0.0013903301052384368	5926	0.5165553732570495	-2.763796365351126e-05	1.0442934476723505e-05	0.0081593061913144	-4.811119485919417e-05	-7.1647324478283456e-06	4565	0.0165176198507098	False	False
Verrucomicrobiaceae	-0.007671533732037557	0.00639409946214196	0.23027167241579313	-0.020206308977051834	0.004863241512976719	5926	0.5165553732570495	0.0005257384184557	0.0001615291353137	0.0011432028567299	0.0002090627425618	0.0008424140943496	4565	0.0035142902632809	False	False
Enterococcaceae	-0.0012124918177781304	0.0011078122155413741	0.27378383525114625	-0.0033842092296997623	0.0009592255941435015	5926	0.5980015348906615	4.209729239418809e-05	2.8628795098142047e-05	0.1415084239650318	-1.4029071559431345e-05	9.822365634780752e-05	4565	0.2025034342947868	False	False
Flavobacteriaceae	0.0002535521013651354	0.0002389946598061744	0.2887736890564011	-0.00021496490609872697	0.0007220691088289978	5926	0.5996640552695567	4.776668216226322e-06	5.5654290036586625e-06	0.3907859550951116	-6.134279755791115e-06	1.568761618824376e-05	4565	0.4700758590274531	True	False
Oxalobacteraceae	0.004065363604598192	0.0038337118928543443	0.28899472543111165	-0.003450114879211568	0.011580842088407952	5926	0.5996640552695567	-0.0004824972858029	9.202790727368438e-05	1.652078149253079e-07	-0.00066291674809	-0.0003020778235159	4565	1.7140310798500691e-06	False	False
[Chromatiaceae]	0.0003358860702417965	0.0003228258471826465	0.2981707434601907	-0.00029697074746560983	0.0009687428879492029	5926	0.603613944077947	-3.446644696243887e-05	7.726942479551847e-06	8.372293936450806e-06	-4.961501274626939e-05	-1.9317881178608344e-05	4565	4.632669311502779e-05	False	False
Unclassified_Clostridiales	-0.004087116821419894	0.004114349832150632	0.3205650566657304	-0.012152748382317466	0.003978514739477678	5926	0.6334976119822767	-0.0001463269877136	0.0001005161882116	0.1455293517427196	-0.0003433876094916	5.073363406439397e-05	4565	0.2047277321126395	True	False
Bradyrhizobiaceae	0.001239663330479045	0.0014136610238419931	0.38056743379049485	-0.0015316296891888337	0.004010956350146923	5926	0.7332886952001133	-0.0001835582765865	3.391695768975364e-05	6.553570376374808e-08	-0.0002500520114771	-0.0001170645416958	4565	9.065772353985152e-07	False	False
Halomonadaceae	0.00041359571107809257	0.0004798183294880834	0.3887313564916264	-0.0005270238326405097	0.0013542152547966948	5926	0.7332886952001133	-4.479224130606587e-05	1.1595811464779984e-05	0.0001136584665386	-6.752567218845854e-05	-2.2058810423673195e-05	4565	0.0004965080380371	False	False
Desulfovibrionaceae	0.0012504902622910998	0.0015144259614495734	0.40899689720959687	-0.0017183389159816358	0.0042193194405638354	5926	0.7423104182028619	1.7463153815835105e-05	3.695198377543633e-05	0.6365281197293027	-5.498070849407319e-05	8.990701612574339e-05	4565	0.6952456326772767	True	False
Bacillaceae	0.00023519849137041156	0.0002889068236097982	0.4156216076973165	-0.0003311646254595974	0.0008015616082004205	5926	0.7423104182028619	-1.8781833636323273e-05	6.909809666725573e-06	0.0065899183543983	-3.232842163890555e-05	-5.235245633740996e-06	4565	0.0136740805853765	False	False
Rikenellaceae	-0.0026265095021150904	0.00329185434462653	0.42497139227410685	-0.00907974886655168	0.0038267298623214986	5926	0.7423104182028619	-0.0001738121863724	8.185896008416666e-05	0.0337815606309493	-0.0003342955658091	-1.3328806935855351e-05	4565	0.0596567985610381	True	False
Neisseriaceae	-0.00029622938838093214	0.00037951594219547477	0.4351012723828863	-0.0010402195414096916	0.0004477607646478274	5926	0.7423104182028619	1.6015955776911654e-05	9.55597407819731e-06	0.0938040819744679	-2.71840161415657e-06	3.4750313167979875e-05	4565	0.1468911297988407	False	False
Carnobacteriaceae	-0.0002911502898364584	0.0003755635705693656	0.43823145171012334	-0.001027392347873675	0.00044509176820075816	5926	0.7423104182028619	-2.9171240667678537e-05	9.226891134743813e-06	0.0015796700288645	-4.726043541771064e-05	-1.1082045917646436e-05	4565	0.004521124565371	True	False
Methylophilaceae	-0.00014406472229744934	0.00020143095646773604	0.47450976512602583	-0.0005389431225570399	0.00025081367796214125	5926	0.7876862101092028	-2.3031077135750485e-06	4.874559611836415e-06	0.6366104588370244	-1.185961562631288e-05	7.253400199162783e-06	4565	0.6952456326772767	True	False
Unclassified_Streptophyta	-0.0008410359348374537	0.0012570027726315066	0.5034703535640912	-0.003305221443771894	0.0016231495740969867	5926	0.8193733205062661	-3.819076947304276e-05	3.138761552516999e-05	0.2237639245902815	-9.97257634035521e-05	2.334422445746659e-05	4565	0.2972708422977022	True	False
Ruminococcaceae	0.004423439296591262	0.007027370041301775	0.5290731548843124	-0.009352778066433042	0.01819965665961557	5926	0.8274988398149139	-0.0008201994680823	0.000169269574794	1.3048661197642814e-06	-0.0011520501704466	-0.0004883487657179	4565	1.0830388794043536e-05	False	False
Methylobacteriaceae	0.00043056300549064246	0.0006913827120784252	0.5334686773730337	-0.0009248001626150259	0.0017859261735963107	5926	0.8274988398149139	-4.460206319979615e-05	1.6101028362291493e-05	0.0056260363287403	-7.616791061990533e-05	-1.3036215779686974e-05	4565	0.0122884477706697	False	False
Comamonadaceae	0.0006232433945813519	0.001012890837029117	0.5383727391566909	-0.0013623933733586343	0.002608880162521338	5926	0.8274988398149139	-8.564434806275804e-05	2.315772928691096e-05	0.0002196082341222	-0.0001310447618014	-4.0243934324042634e-05	4565	0.0007924992796584	False	False
Prevotellaceae	0.0054531925014299956	0.009249116192516685	0.5554876847918959	-0.012678460497502484	0.023584845500362474	5926	0.8382814152314065	2.9511657961821686e-06	0.0002250549522159	0.9895381438755696	-0.0004382660113269	0.0004441683429193	4565	0.9947379870584228	True	False
mitochondria	-0.00021773076043533904	0.0003826843539269699	0.5694072930260656	-0.0009679321601256658	0.0005324706392549878	5926	0.843942952163633	-6.185961177998067e-08	9.37925376175266e-06	0.9947379870584228	-1.844975922267376e-05	1.83260399991138e-05	4565	0.9947379870584228	True	False
Peptostreptococcaceae	0.0029096135202746564	0.005722275426136728	0.611141780909459	-0.008308140720392753	0.014127367760942066	5926	0.8849309147982609	4.635077186949514e-05	0.000139070131458	0.7389302948251275	-0.0002262943320034	0.0003189958757424	4565	0.7862976214164819	True	False
[Barnesiellaceae]	0.0006506926311086695	0.0013362436365968377	0.6263071850192741	-0.001968833974082888	0.003270219236300227	5926	0.8849309147982609	-0.0001232502608641	3.346188922738153e-05	0.0002329104104376	-0.000188851840215	-5.764868151322532e-05	4565	0.0008054818360967	False	False
