feature	coef	stderr	pval	ci_low	ci_high	n	qval
Coriobacteriaceae	0.009622145001610797	0.0013285460719039968	4.96361792114627e-13	0.007017708440596687	0.012226581562624907	5926	4.119802874551404e-11
Actinomycetaceae	0.004331080948819964	0.0008328643753651465	2.0575495385815647e-07	0.002698361937082211	0.005963799960557716	5926	8.538830585113493e-06
Pasteurellaceae	-0.011810990520097115	0.0026699321434528935	9.876628946498225e-06	-0.01704503474098731	-0.00657694629920692	5926	0.00027325340085311757
[Mogibacteriaceae]	0.0023074888328691455	0.0006440702427150228	0.000342846524131902	0.0010448754215147127	0.0035701022442235783	5926	0.007114065375736966
Peptococcaceae	0.0013854440768480355	0.00043783548244892816	0.00156244570093746	0.0005271262794343518	0.0022437618742617194	5926	0.025936598635561834
Dethiosulfovibrionaceae	-0.0016072262722504997	0.0005180976283009512	0.0019301555575750137	-0.0026228872522177813	-0.0005915652922832183	5926	0.026700485213121024
Pseudonocardiaceae	0.001319265118405547	0.0004322336486269711	0.002281785640281091	0.00047192896560560365	0.0021666012712054906	5926	0.02705545830619008
Turicibacteraceae	0.00422193029277481	0.001614263183128246	0.008935201478759237	0.0010573836186704398	0.00738647696687918	5926	0.09270271534212708
Erysipelotrichaceae	0.008685078677475021	0.003572527176180962	0.015083707611758602	0.001681617834353769	0.015688539520596272	5926	0.13910530353066267
Unclassified_YS2	0.002183442849180958	0.0010616183659178553	0.03975783109633545	0.00010228228989527617	0.0042646034084666395	5926	0.3060471506759005
Rhodocyclaceae	0.0005278564620973631	0.0002576863032201192	0.04056046575222778	2.2696992228753913e-05	0.0010330159319659723	5926	0.3060471506759005
Nocardiopsaceae	0.0010675306165866148	0.0005396646736845945	0.04795969401500454	9.590333930408574e-06	0.002125470899242821	5926	0.31352766597289167
Methanobacteriaceae	0.0026338439234514467	0.0013425010640868793	0.04982182925277387	2.0504701033902117e-06	0.005265637376799503	5926	0.31352766597289167
Brevibacteriaceae	0.000813408252994886	0.0004200935994471414	0.05288418462193353	-1.0128960042927408e-05	0.0016369454660326993	5926	0.31352766597289167
Bacteroidaceae	-0.01774044435143844	0.009696788793378625	0.06737254771838998	-0.036749699500349925	0.001268810797473048	5926	0.3723744395202406
S24-7	0.004064040384946285	0.0022567779995563897	0.07178302448582952	-0.00036007049568990805	0.008488151265582477	5926	0.3723744395202406
Corynebacteriaceae	0.0006636651792405973	0.00039423657589335125	0.0923469731818149	-0.00010918280372333386	0.0014365131622045284	5926	0.43824067361938185
Dermabacteraceae	0.000425203169394623	0.0002546648807613249	0.09504014608613101	-7.403320658633857e-05	0.0009244395453755845	5926	0.43824067361938185
Dehalobacteriaceae	0.000696328635734475	0.00042510885523203916	0.10147483773665539	-0.0001370403142714854	0.0015296975857404353	5926	0.4432848174811788
Unclassified_Rhizobiales	0.0009746568405476672	0.0006156589762477538	0.11344961956838973	-0.0002322600897460645	0.002181573770841399	5926	0.4708159212088174
[Weeksellaceae]	0.0006330892538289061	0.0004174053982901756	0.1293896549608525	-0.00018517810103490476	0.0014513566086927169	5926	0.4727060480381699
Streptococcaceae	0.00545609369001797	0.0036025992296255856	0.12995563640632252	-0.001606319384502907	0.012518506764538848	5926	0.4727060480381699
Rhizobiaceae	0.0003787412847102944	0.00025467566088073365	0.13702822812681187	-0.00012051622425033112	0.0008779987936709198	5926	0.4727060480381699
Xanthomonadaceae	0.0006669972905489831	0.00045297162755828353	0.14094127331370002	-0.00022099289124736935	0.0015549874723453355	5926	0.4727060480381699
Brucellaceae	0.0009853648317105141	0.0006785010797131629	0.14648049398647398	-0.0003447456221633092	0.0023154752855843374	5926	0.4727060480381699
Listeriaceae	0.00033678024595225277	0.00023281646243001282	0.14807659336135442	-0.00011962523337726624	0.0007931857252817718	5926	0.4727060480381699
Staphylococcaceae	0.0007635819789737987	0.0005356325177556105	0.15404520616353473	-0.0002864538022554412	0.0018136177602030385	5926	0.4735463745027179
Caulobacteraceae	0.0022923905202927005	0.0016510462939304865	0.16505332596168854	-0.000944264513940946	0.0055290455545263465	5926	0.4892652162435768
[Tissierellaceae]	-0.0015679502430332249	0.00114551152241488	0.17112097122477696	-0.0038135720947200017	0.000677671608653552	5926	0.489760021091603
Lachnospiraceae	0.006744836342493032	0.005058596586689877	0.18247124659359398	-0.0031718644602987964	0.01666153714528486	5926	0.5048371155756101
Unclassified_Burkholderiales	0.0011030220883939373	0.000873220403933975	0.2065795238177067	-0.0006088095100163697	0.0028148536868042445	5926	0.5165553732570495
Alcaligenaceae	-0.0025702646031203584	0.002039520360358017	0.2076362521664237	-0.006568470992633459	0.001427941786392742	5926	0.5165553732570495
Fusobacteriaceae	0.004852382958899428	0.0038648333734083527	0.2093390653057767	-0.0027241050175443255	0.012428870935343183	5926	0.5165553732570495
Chitinophagaceae	0.003969855186223029	0.0031802232334537752	0.211972742626529	-0.0022645463423014893	0.010204256714747548	5926	0.5165553732570495
Sphingomonadaceae	0.0008622835982255104	0.0007022878525864372	0.21956322927315466	-0.0005144576366575927	0.0022390248331086134	5926	0.5165553732570495
Hyphomicrobiaceae	0.0005322159458146667	0.00043773160491332615	0.22409071854301232	-0.00032589821360910363	0.0013903301052384368	5926	0.5165553732570495
Verrucomicrobiaceae	-0.007671533732037557	0.00639409946214196	0.23027167241579313	-0.020206308977051834	0.004863241512976719	5926	0.5165553732570495
