feature	coef	stderr	pval	ci_low	ci_high	n	qval
Atopobium	0.005014231827035605	0.00044387195904400586	2.563425476525e-29	0.004144096045150172	0.005884367608921038	6496	3.9476752338485e-27
Actinomyces	0.004060816158647194	0.0007474830619731853	5.7545412167923576e-08	0.00259550224249672	0.005526130074797669	6496	4.4309967369301155e-06
[Ruminococcus]	0.014002413523724045	0.0026985694941767317	2.1805978880776403e-07	0.008712325179677845	0.019292501867770245	6496	1.119373582546522e-05
Collinsella	0.004835738632618543	0.0010669637695348512	5.941015112890727e-06	0.002744136910700367	0.006927340354536718	6496	0.00022872908184629298
[Eubacterium]	0.008980072246013557	0.002058630032226529	1.307836529865741e-05	0.0049444768086214985	0.013015667683405615	6496	0.00040281365119864825
Dorea	0.005941334928406277	0.0014188041411441787	2.857047873770178e-05	0.0031600097612213287	0.008722660095591224	6496	0.000733308954267679
Haemophilus	-0.009281003668171946	0.0023143702299986513	6.135933651519141e-05	-0.013817934439806012	-0.0047440728965378815	6496	0.001349905403334211
Bulleidia	0.002221176605620547	0.0005808927978584314	0.00013268306401681746	0.0010824346811592821	0.0033599185300818117	6496	0.002554148982323736
Peptococcus	0.0012181813257454905	0.00032836670191961024	0.0002091446636064532	0.0005744740333647298	0.0018618886181262513	6496	0.0035786975772659772
Turicibacter	0.005093540385495355	0.00143515020123494	0.0003892426244745856	0.002280171536595404	0.007906909234395305	6496	0.005994336416908618
Pyramidobacter	-0.001621650229252535	0.0004712915433198143	0.000583523637133876	-0.002545537461115097	-0.0006977629973899731	6496	0.008169330919874264
Prauserella	0.0006185190881397242	0.000184141769902588	0.0007869724273918729	0.0002575403426540904	0.0009794978336253582	6496	0.010099479484862369
Unclassified_Coriobacteriaceae	0.0025151621913208277	0.0007630723376137694	0.0009856536007087982	0.0010192881411673802	0.004011036241474275	6496	0.011676204193011918
Unclassified_[Mogibacteriaceae]	0.0018051210161705955	0.0005702227371910363	0.0015545895842490323	0.0006872959380935565	0.0029229460942476345	6496	0.017100485426739354
Slackia	0.0009221352966129972	0.00030952193555654586	0.0029005205394875624	0.0003153699763024921	0.0015289006169235024	6496	0.029778677538738973
Clostridium	-0.004845279892920551	0.0018480404279412608	0.008765932087778004	-0.008468050085896711	-0.0012225096999443916	6496	0.08437209634486328
Prauseria	0.0008875769657824231	0.00034460841646039475	0.01002832326296539	0.0002120305434608038	0.0015631233881040424	6496	0.09084481073509824
Fusobacterium	0.008331510515048922	0.0033093133040659156	0.01183985817744586	0.0018441623943450877	0.014818858635752757	6496	0.09943013074513765
Adlercreutzia	0.0008177588320235039	0.00032644248526245026	0.012267353793231269	0.00017782364042852154	0.0014576940236184863	6496	0.09943013074513765
Unclassified_YS2	0.00220896817659614	0.0009173567199687221	0.016069257856145745	0.000410645731274237	0.004007290621918043	6496	0.12373328549232225
Blautia	0.005212749083534173	0.0022145975425577726	0.018611676219764534	0.0008714057637052644	0.009554092403363081	6496	0.1364856256116066
Brevibacterium	0.0008662865505880032	0.000372861486833972	0.020191356847748705	0.00013535476999071167	0.0015972183311852948	6496	0.14133949793424094
Oscillospira	-0.003220189845203456	0.001401439579501201	0.021606466642201196	-0.005967474730918828	-0.00047290495948808416	6496	0.1444219525736936
Aggregatibacter	-0.0016113011630797226	0.0007060165607962592	0.022507317284211993	-0.0029953270282766092	-0.0002272752978828359	6496	0.1444219525736936
Mogibacterium	0.00046586512473510136	0.00020835421298115873	0.025390408039742823	5.74219862860004e-05	0.0008743082631842024	6496	0.15640491352481578
Carludovica	0.0004937235244655833	0.00022565800199446796	0.028710464457315458	5.135923899222603e-05	0.0009360878099389406	6496	0.1656195105733031
Megamonas	0.006644284006111664	0.0030429964228022408	0.029037186918695997	0.0006790050158993182	0.01260956299632401	6496	0.1656195105733031
Unclassified_Clostridiaceae	0.00796557669252189	0.003694114106482615	0.031097851837309308	0.0007238917855922761	0.015207261599451505	6496	0.1710381851052012
Unclassified_Pasteurellaceae	-0.00041301405160740803	0.00019399662744882853	0.03329394392952897	-0.0007933115758571616	-3.2716527357654415e-05	6496	0.17680232293611933
Coprobacillus	0.0018444615357186638	0.0008841988420323494	0.037015355471027314	0.00011113949300378158	0.003577783578433546	6496	0.18187936134651944
Coprococcus	0.0050826475410371335	0.0024430422180909458	0.03752275601553538	0.0002934771343367278	0.00987181794773754	6496	0.18187936134651944
Unclassified_S24-7	0.0041763150371167445	0.0020102425457339326	0.037793114046030016	0.00023557506994494395	0.008117055004288545	6496	0.18187936134651944
Unclassified_Erysipelotrichaceae	0.005424638682556023	0.002640453664844599	0.039973739578815004	0.00024847657684384274	0.010600800788268203	6496	0.18654411803447002
Veillonella	-0.006195811181252668	0.0030896300832566506	0.04496645713005419	-0.012252507562843087	-0.0001391147996622497	6496	0.1986883578136183
Akkermansia	-0.011740132387952695	0.00585957115273108	0.04515644495764052	-0.023226828996308402	-0.00025343577959698743	6496	0.1986883578136183
Eggerthella	0.0013192839324275686	0.0006635782561831603	0.04683868960755433	1.845117419320137e-05	0.002620116690661936	6496	0.20036550554342686
SMB53	0.0010324417319711708	0.0005474571315488968	0.05935506210992574	-4.075523283603535e-05	0.002105638696778377	6496	0.24083341756316334
Anaerostipes	-0.00227304429120117	0.0012084238715322291	0.06001688898923516	-0.004641954579135065	9.58659967327251e-05	6496	0.24083341756316334
Unclassified_Pseudomonadaceae	0.0005138659512490401	0.0002742238335493891	0.06099028107119071	-2.3703419726841418e-05	0.0010514353222249215	6496	0.24083341756316334
Bacteroides	-0.016139300999553834	0.008696340891121403	0.06351714013572243	-0.033187004119020286	0.0009084021199126172	6496	0.2445409895225314
Unclassified_Nocardiopsaceae	0.0006506211587841486	0.00036158492591797546	0.07200844375038983	-5.820483443528656e-05	0.0013594471520035837	6496	0.2632713363109404
Enhydrobacter	0.0006442097515835125	0.00036073012942898654	0.07417042059723798	-6.294055792546423e-05	0.0013513600610924894	6496	0.2632713363109404
Sutterella	-0.003260745667481773	0.0018289161468577318	0.07465201479563784	-0.006846025947129203	0.0003245346121656563	6496	0.2632713363109404
Acidaminococcus	0.0028581729484770404	0.0016062524939923113	0.07522038180312583	-0.0002906129599088989	0.00600695885686298	6496	0.2632713363109404
Devosia	0.0006776837593986954	0.00038451907358760286	0.07804570937761122	-7.610074518371774e-05	0.0014314682639811087	6496	0.26708976098115844
Chryseobacterium	0.0005004821936241297	0.00029136718317309394	0.08589869405757539	-7.069381013181193e-05	0.0010716581973800711	6496	0.287573888801448
Unclassified_Rhodocyclaceae	0.0003111130282245659	0.00018538345827050188	0.09335370078835176	-5.2299836959009214e-05	0.0006745258934081409	6496	0.30588233875332277
Ochrobactrum	0.0010073140401450856	0.0006057581660427463	0.09638127644387433	-0.00018017222634113435	0.0021948003066313056	6496	0.3092232619240968
Sphingomonas	0.0008765657093852795	0.0005424669835341211	0.10616734289470794	-0.0001868489155915108	0.0019399803343620697	6496	0.33366879195479643
