fold	n_train	n_val	auc	tn_05	fp_05	fn_05	tp_05	precision_05	recall_05	f1_05	mcc_05	youden_thr	tn_y	fp_y	fn_y	tp_y	precision_y	recall_y	f1_y	mcc_y
0	5476	609	0.7041128690064861	452	16	116	25	0.6097560975609756	0.1773049645390071	0.27472527472527475	0.24091142656898284	0.1958926829623963	268	200	36	105	0.3442622950819672	0.7446808510638298	0.4708520179372197	0.26770561659917214
1	5476	609	0.7253136933987997	453	15	120	21	0.5833333333333334	0.14893617021276595	0.23728813559322032	0.20905583181963	0.26406910828937663	373	95	60	81	0.4602272727272727	0.574468085106383	0.5110410094637224	0.3456716003349101
2	5476	609	0.7616839425350063	459	9	115	26	0.7428571428571429	0.18439716312056736	0.2954545454545454	0.2993396188560238	0.1839442543787593	285	183	25	116	0.3879598662207358	0.8226950354609929	0.5272727272727272	0.36422294350904133
3	5476	609	0.7371794871794872	455	13	119	22	0.6285714285714286	0.15602836879432624	0.25	0.23243519537375257	0.2550633396762728	349	119	51	90	0.430622009569378	0.6382978723404256	0.5142857142857143	0.34118358426520995
4	5476	609	0.780202461053525	460	8	109	32	0.8	0.22695035460992907	0.35359116022099446	0.3573291474149324	0.25401263613820724	358	110	45	96	0.46601941747572817	0.6808510638297872	0.553314121037464	0.3974610060700093
5	5477	608	0.7283577533577533	453	15	123	17	0.53125	0.12142857142857143	0.19767441860465113	0.16851085913349811	0.23154718363461194	330	138	48	92	0.4	0.6571428571428571	0.49729729729729727	0.31449284623711515
6	5477	608	0.7486416361416361	454	14	115	25	0.6410256410256411	0.17857142857142858	0.27932960893854747	0.2554368652137619	0.22758299185275793	318	150	40	100	0.4	0.7142857142857143	0.5128205128205129	0.3369156958912488
7	5477	608	0.701572039072039	448	20	115	25	0.5555555555555556	0.17857142857142858	0.2702702702702703	0.21844525118595065	0.279010052076258	367	101	65	75	0.42613636363636365	0.5357142857142857	0.4746835443037975	0.2969655879235549
8	5477	608	0.7471153846153846	457	11	118	22	0.6666666666666666	0.15714285714285714	0.2543352601156069	0.24832927250018486	0.20875666502237145	304	164	39	101	0.38113207547169814	0.7214285714285714	0.4987654320987654	0.3149867506138935
9	5477	608	0.6908135526295807	456	11	118	23	0.6764705882352942	0.16312056737588654	0.2628571428571429	0.25636109035381077	0.29048090054061004	378	89	75	66	0.4258064516129032	0.46808510638297873	0.44594594594594594	0.2687366552330028
